Agreement_Num_Region-Co-Dist-Type Code,Sit_Num,Site Name,Site Address,Site City,Site Zip,Site Count,Free Eligibles,Reduced Eligibles,Enrollment,Participates in CEP,CEP Num identified students,Cep Enrollment,PC of Free And Reduced-Priced Eligibility,PC of Free Eligibility,RCDTS
15-016-2990-25,12150,Monroe Elem School,3651 W Schubert Ave,Chicago,60647-1157,Cook,900,0,900,X,812,981,1,0.827726809,1.50163E+14
15-016-2990-25,67969,Montessori of Englewood Chtr ES,6936 S Hermitage Ave,Chicago,60636-3333,Cook,293,0,293,X,209,248,1,0.842741936,15016299025233C
15-016-2990-25,12151,Moos Elem School,1711 N California Ave,Chicago,60647-5103,Cook,524,0,524,X,422,519,1,0.81310212,1.50163E+14
15-016-2990-25,11861,Morgan Park High School,1744 W Pryor Ave,Chicago,60643-3497,Cook,1442,0,1442,X,859,1372,1,0.626093295,1.50163E+14
15-016-2990-25,12152,Morrill Elem Math & Sci School,6011 S Rockwell St,Chicago,60629-1133,Cook,764,0,764,X,735,850,1,0.864705882,1.50163E+14
15-016-2990-25,12371,Morton Elem Career Academy,431 N Troy St,Chicago,60612-1713,Cook,394,0,394,X,321,368,1,0.872282609,1.50163E+14
15-016-2990-25,12155,Mount Greenwood Elem School,10841 S Homan Ave,Chicago,60655-2611,Cook,1109,0,1109,X,188,1061,0.283506126,0.177191329,1.50163E+14
15-016-2990-25,12156,Mount Vernon Elem School,10540 S Morgan St,Chicago,60643-3098,Cook,261,0,261,X,218,275,1,0.792727273,1.50163E+14
15-016-2990-25,73367,Moving Everest Charter School,416 N Laramie Ave,Chicago,60644-1906,Cook,273,0,273,,0,0,1,0,15016299025244C
15-016-2990-25,12157,Mozart Elem School,2200 N Hamlin Ave,Chicago,60647-2222,Cook,712,0,712,X,681,800,1,0.85125,1.50163E+14
15-016-2990-25,12158,Murphy Elem School,3539 W Grace St,Chicago,60618-4237,Cook,564,0,564,X,393,577,1,0.681109185,1.50163E+14
