RCDTS,School Name,City,SAT Reading Total Students Level 1 PC,SAT Reading Total Students Level 2 PC,SAT Reading Total Students Level 3 PC,SAT Reading Total Students Level 4 PC,SAT Math Total Students Level 1 PC,SAT Math Total Students Level 2 PC,SAT Math Total Students Level 3 PC,SAT Math Total Students Level 4 PC,SAT Reading Total Low Income Students Level 1 PC,SAT Reading Total Low Income Students Level 2 PC,SAT Reading Total Low Income Students Level 3 PC,SAT Reading Total Low Income Students Level 4 PC,SAT Math Total Low Income Students Level 1 PC,SAT Math Total Low Income Students Level 2 PC,SAT Math Total Low Income Students Level 3 PC,SAT Math Total Low Income Students Level 4 PC,Total Students SAT Math Participation PC,Low Income Students SAT Math Participation PC,Total Students SAT ELA Participation PC,Low Income Students SAT ELA Participation PC
1.09E+13,,Winchester,29.8,36.2,27.7,6.4,36.2,38.3,25.5,0,42.9,28.6,28.6,0,57.1,14.3,28.6,0,100,100,100,100
1.09E+13,Winchester High School,Winchester,29.8,36.2,27.7,6.4,36.2,38.3,25.5,0,42.9,28.6,28.6,0,57.1,14.3,28.6,0,100,100,100,100
1.09E+13,Winchester Elem School,Winchester,,,,,,,,,,,,,,,,,,,,
1.09E+13,,Bluffs,50,50,0,0,66.7,25,8.3,0,,,,,,,,,100,,100,
1.09E+13,Bluffs High School,Bluffs,50,50,0,0,66.7,25,8.3,0,,,,,,,,,100,,100,
1.09E+13,Bluffs Junior High School,Bluffs,,,,,,,,,,,,,,,,,,,,
1.09E+13,Bluffs Elementary School,Bluffs,,,,,,,,,,,,,,,,,,,,
3.00E+13,,Mulberry Grove,29.6,37,29.6,3.7,29.6,40.7,29.6,0,,,,,,,,,100,,100,
3.00E+13,Mulberry Grove Sr High School,Mulberry Grove,29.6,37,29.6,3.7,29.6,40.7,29.6,0,,,,,,,,,100,,100,
3.00E+13,Mulberry Grove Jr High School,Mulberry Grove,,,,,,,,,,,,,,,,,,,,
3.00E+13,Mulberry Grove Elem School,Mulberry Grove,,,,,,,,,,,,,,,,,,,,
3.00E+13,,Greenville,22.2,38.1,25.4,14.3,27,38.9,29.4,4.8,41.2,35.3,20.6,2.9,52.9,26.5,17.6,2.9,98.4,97.1,98.4,97.1
3.00E+13,Bond Cty Comm Unit 2 High School,Greenville,22.2,38.1,25.4,14.3,27,38.9,29.4,4.8,41.2,35.3,20.6,2.9,52.9,26.5,17.6,2.9,98.4,97.1,98.4,97.1
3.00E+13,Greenville Jr High School,Greenville,,,,,,,,,,,,,,,,,,,,
3.00E+13,Greenville Elem School,Greenville,,,,,,,,,,,,,,,,,,,,
